Objetivo 1; Objetivo 2; Porcentaje de peticiones servidas; Solucion factible
1972851.0;679381.0;82.609;SI
1905188.0;759167.0;82.609;SI
1890593.0;841005.0;78.261;SI
1905188.0;759167.0;82.609;SI
1963477.0;683316.0;82.609;SI
1995886.0;673315.0;82.609;SI
1905188.0;759167.0;82.609;SI
1948302.0;694107.0;82.609;SI
1905188.0;759167.0;82.609;SI
1941085.0;704665.0;82.609;SI
1933545.0;706454.0;82.609;SI
1912749.0;754442.0;82.609;SI
1914866.0;735333.0;82.609;SI
1945591.0;699210.0;82.609;SI
1907482.0;758480.0;82.609;SI
2000641.0;664853.0;82.609;SI
1894336.0;826527.0;78.261;SI
1916030.0;708558.0;82.609;SI
1895100.0;760051.0;82.609;SI
1950859.0;684594.0;82.609;SI
1941085.0;704665.0;82.609;SI
1944906.0;699254.0;82.609;SI
1941085.0;704665.0;82.609;SI
1894583.0;798637.0;78.261;SI
1915446.0;715928.0;82.609;SI
1892902.0;841005.0;78.261;SI
1892902.0;841005.0;78.261;SI
1964089.0;683316.0;82.609;SI
1964089.0;683316.0;82.609;SI
1964089.0;683316.0;82.609;SI
1964089.0;683316.0;82.609;SI
1997373.0;674862.0;82.609;SI
1997373.0;674862.0;82.609;SI
1997373.0;674862.0;82.609;SI
1997373.0;674862.0;82.609;SI
1906673.0;759167.0;82.609;SI
1906673.0;759167.0;82.609;SI
1913918.0;757394.0;82.609;SI
1914936.0;742503.0;82.609;SI
2003007.0;673315.0;82.609;SI
1938423.0;710203.0;82.609;SI
1938423.0;710203.0;82.609;SI
1938423.0;710203.0;82.609;SI
1917930.0;713430.0;82.609;SI
1900035.0;762116.0;82.609;SI
1960020.0;688195.0;82.609;SI
1956490.0;689540.0;82.609;SI
1955374.0;690009.0;82.609;SI
1951078.0;694107.0;82.609;SI
1960422.0;686264.0;82.609;SI
1942671.0;705234.0;82.609;SI
1899680.0;798637.0;78.261;SI
1895864.0;824462.0;78.261;SI
1896856.0;823474.0;78.261;SI
1917248.0;716954.0;82.609;SI
1917248.0;716954.0;82.609;SI
1916331.0;729113.0;82.609;SI
1893127.0;841005.0;78.261;SI
1893127.0;841005.0;78.261;SI
1964462.0;683316.0;82.609;SI
1999013.0;674862.0;82.609;SI
1906703.0;759167.0;82.609;SI
1915164.0;746585.0;82.609;SI
2005626.0;674781.0;82.609;SI
1918590.0;715928.0;82.609;SI
1937870.0;715555.0;82.609;SI
1937870.0;715555.0;82.609;SI
1940713.0;714912.0;82.609;SI
1940713.0;714912.0;82.609;SI
1940713.0;714912.0;82.609;SI
1940133.0;715539.0;82.609;SI
1937870.0;715555.0;82.609;SI
1918590.0;715928.0;82.609;SI
1901153.0;762116.0;82.609;SI
1956579.0;689540.0;82.609;SI
1953437.0;699210.0;82.609;SI
1954912.0;698020.0;82.609;SI
1953437.0;699210.0;82.609;SI
1952359.0;700712.0;82.609;SI
1960850.0;688195.0;82.609;SI
1943441.0;705234.0;82.609;SI
1943255.0;709337.0;82.609;SI
1900796.0;798637.0;78.261;SI
1900478.0;821914.0;78.261;SI
1896215.0;824462.0;78.261;SI
1918538.0;726773.0;82.609;SI
1917887.0;728786.0;82.609;SI
1916380.0;739641.0;82.609;SI
1893710.0;841005.0;78.261;SI
2000981.0;675563.0;82.609;SI
1901779.0;762116.0;82.609;SI
1899032.0;836549.0;78.261;SI
1965068.0;683316.0;82.609;SI
1960932.0;697367.0;82.609;SI
1946269.0;705885.0;82.609;SI
1913036.0;759646.0;82.609;SI
1939141.0;715555.0;82.609;SI
1924808.0;715928.0;82.609;SI
1916789.0;751171.0;82.609;SI
1962015.0;688195.0;82.609;SI
