Objetivo 1; Objetivo 2; Porcentaje de peticiones servidas; Solucion factible
802430.0;377883.0;86.667;SI
792267.0;381445.0;86.667;SI
746635.0;507143.0;73.333;SI
760133.0;434480.0;80.0;SI
788411.0;382195.0;86.667;SI
758336.0;441198.0;80.0;SI
762699.0;431895.0;80.0;SI
787753.0;383741.0;86.667;SI
760133.0;434480.0;80.0;SI
746922.0;505203.0;73.333;SI
753701.0;442018.0;80.0;SI
802583.0;377133.0;86.667;SI
793932.0;379307.0;86.667;SI
762857.0;430755.0;80.0;SI
743235.0;509319.0;73.333;SI
783156.0;385697.0;86.667;SI
793875.0;382195.0;86.667;SI
789587.0;383741.0;86.667;SI
762440.0;435089.0;80.0;SI
761527.0;436088.0;80.0;SI
746930.0;505203.0;73.333;SI
758929.0;443273.0;80.0;SI
760713.0;442289.0;80.0;SI
755725.0;443806.0;80.0;SI
805021.0;377883.0;86.667;SI
806078.0;377677.0;86.667;SI
794911.0;379307.0;86.667;SI
763166.0;433661.0;80.0;SI
763309.0;432357.0;80.0;SI
763166.0;433661.0;80.0;SI
746340.0;509319.0;73.333;SI
746340.0;509319.0;73.333;SI
746340.0;509319.0;73.333;SI
745186.0;573669.0;66.667;SI
787397.0;389593.0;86.667;SI
789297.0;386417.0;86.667;SI
788901.0;387485.0;86.667;SI
788406.0;388977.0;86.667;SI
790068.0;383741.0;86.667;SI
762998.0;438252.0;80.0;SI
748892.0;505203.0;73.333;SI
761829.0;443273.0;80.0;SI
757745.0;452364.0;80.0;SI
758427.0;445352.0;80.0;SI
759548.0;444115.0;80.0;SI
757725.0;504186.0;73.333;SI
806060.0;377883.0;86.667;SI
806175.0;377677.0;86.667;SI
806175.0;377677.0;86.667;SI
797017.0;380587.0;86.667;SI
797017.0;380587.0;86.667;SI
800760.0;380413.0;86.667;SI
795819.0;382989.0;86.667;SI
767991.0;432357.0;80.0;SI
767991.0;432357.0;80.0;SI
765348.0;433661.0;80.0;SI
765348.0;433661.0;80.0;SI
764628.0;436177.0;80.0;SI
747212.0;509743.0;73.333;SI
747481.0;509319.0;73.333;SI
745323.0;573669.0;66.667;SI
787588.0;391105.0;86.667;SI
788435.0;389593.0;86.667;SI
788435.0;389593.0;86.667;SI
791048.0;385285.0;86.667;SI
792898.0;383741.0;86.667;SI
792898.0;383741.0;86.667;SI
792898.0;383741.0;86.667;SI
792898.0;383741.0;86.667;SI
790978.0;387485.0;86.667;SI
791505.0;384591.0;86.667;SI
763247.0;439906.0;80.0;SI
751183.0;507143.0;73.333;SI
753975.0;505257.0;73.333;SI
750374.0;507301.0;73.333;SI
749838.0;509029.0;73.333;SI
758421.0;478311.0;73.333;SI
759429.0;453242.0;80.0;SI
760586.0;445290.0;80.0;SI
806107.0;378117.0;86.667;SI
806665.0;377677.0;86.667;SI
806665.0;377677.0;86.667;SI
800963.0;380413.0;86.667;SI
800765.0;382869.0;86.667;SI
769818.0;432357.0;80.0;SI
765494.0;433661.0;80.0;SI
764713.0;436871.0;80.0;SI
764978.0;436177.0;80.0;SI
748293.0;509319.0;73.333;SI
747640.0;579682.0;66.667;SI
789608.0;389992.0;86.667;SI
789349.0;391105.0;86.667;SI
789608.0;389992.0;86.667;SI
789608.0;389992.0;86.667;SI
789608.0;389992.0;86.667;SI
790278.0;389593.0;86.667;SI
789349.0;391105.0;86.667;SI
809198.0;377677.0;86.667;SI
748869.0;520006.0;73.333;SI
771342.0;432357.0;80.0;SI
