Objetivo 1, Objetivo 2, Porcentaje de peticiones servidas, Solucion factible
720685.0,554850.0,50.0,SI
703425.0,739654.0,38.889,SI
712406.0,730319.0,55.556,SI
710159.0,733635.0,55.556,SI
736684.0,451394.0,38.889,SI
760487.0,274522.0,27.778,SI
762811.0,263203.0,22.222,SI
755925.0,274999.0,27.778,SI
754388.0,312434.0,33.333,SI
760856.0,272230.0,33.333,SI
734045.0,527958.0,44.444,SI
739031.0,321709.0,38.889,SI
708918.0,734315.0,55.556,SI
727969.0,673188.0,72.222,SI
737973.0,485033.0,38.889,SI
759969.0,274999.0,27.778,SI
757809.0,311070.0,33.333,SI
758238.0,310636.0,33.333,SI
763315.0,272712.0,27.778,SI
741916.0,445666.0,55.556,SI
751843.0,341492.0,44.444,SI
750137.0,407069.0,38.889,SI
710758.0,735033.0,55.556,SI
710758.0,735033.0,55.556,SI
741913.0,686785.0,66.667,SI
762735.0,274999.0,27.778,SI
758714.0,310636.0,33.333,SI
746262.0,514065.0,44.444,SI
753563.0,341492.0,44.444,SI
712644.0,735033.0,55.556,SI
744220.0,686785.0,66.667,SI
775411.0,282381.0,44.444,SI
775411.0,282381.0,44.444,SI
759221.0,310636.0,33.333,SI
746504.0,516267.0,44.444,SI
746504.0,516267.0,44.444,SI
746504.0,516267.0,44.444,SI
746504.0,516267.0,44.444,SI
713163.0,736189.0,55.556,SI
776105.0,282381.0,44.444,SI
759533.0,310636.0,33.333,SI
750876.0,643169.0,61.111,SI
752572.0,634685.0,61.111,SI
752572.0,634685.0,61.111,SI
757493.0,581824.0,55.556,SI
752572.0,634685.0,61.111,SI
736132.0,961403.0,61.111,SI
728883.0,1223242.0,66.667,SI
759882.0,310636.0,33.333,SI
759882.0,310636.0,33.333,SI
759882.0,310636.0,33.333,SI
759882.0,310636.0,33.333,SI
759882.0,310636.0,33.333,SI
757421.0,669825.0,77.778,SI
757421.0,669825.0,77.778,SI
757421.0,669825.0,77.778,SI
757421.0,669825.0,77.778,SI
757886.0,669065.0,77.778,SI
757421.0,669825.0,77.778,SI
755920.0,792725.0,83.333,SI
757403.0,688180.0,77.778,SI
742179.0,1039735.0,77.778,SI
738853.0,2348322.0,88.889,SI
759946.0,310636.0,33.333,SI
758973.0,710153.0,77.778,SI
758928.0,854201.0,66.667,SI
742279.0,1039735.0,77.778,SI
762212.0,310636.0,33.333,SI
762212.0,310636.0,33.333,SI
743156.0,1039735.0,77.778,SI
742785.0,1077942.0,83.333,SI
742785.0,1077942.0,83.333,SI
788546.0,477725.0,27.778,SI
786444.0,527371.0,33.333,SI
786444.0,527371.0,33.333,SI
788546.0,477725.0,27.778,SI
762460.0,720466.0,61.111,SI
747958.0,1351476.0,77.778,SI
792178.0,567795.0,38.889,SI
764307.0,1092717.0,66.667,SI
764307.0,1092717.0,66.667,SI
789107.0,1142126.0,83.333,SI
712112.0,495799.0,61.111,NO
756702.0,290727.0,44.444,NO
742333.0,333898.0,38.889,NO
742333.0,333898.0,38.889,NO
730227.0,377112.0,44.444,NO
721870.0,586453.0,55.556,NO
780237.0,317724.0,33.333,NO
746931.0,351549.0,33.333,NO
739969.0,571835.0,66.667,NO
743650.0,440592.0,44.444,NO
736352.0,995437.0,66.667,NO
733339.0,1783017.0,100.0,NO
747524.0,398940.0,38.889,NO
748153.0,360341.0,50.0,NO
743128.0,796823.0,55.556,NO
745935.0,491594.0,50.0,NO
736516.0,1060384.0,83.333,NO
772822.0,372899.0,50.0,NO
